"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"4714","ENSG00000198728",2809.713,-0.3556642,0.05852567,8.521798e-10,4.711437e-09,"LDB1","DOWN"
"4715","ENSG00000198736",912.5784,-1.12586,0.0861169,1.054123e-40,2.51996e-39,"MSRB1","DOWN"
"4716","ENSG00000198743",1142.746,-0.3121473,0.08407822,0.0001538026,0.0005010564,"SLC5A3","DOWN"
"4717","ENSG00000198746",706.787,-0.690322,0.09741713,3.384719e-13,2.373175e-12,"GPATCH3","DOWN"
"4718","ENSG00000198752",4651.436,-0.4527482,0.04410762,5.664267e-25,7.360545e-24,"CDC42BPB","DOWN"
"4719","ENSG00000198755",14905.68,-0.1473312,0.03762888,8.493112e-05,0.0002864575,"RPL10A","DOWN"
"4720","ENSG00000198763",58501.76,-1.011233,0.17157542,1.695023e-10,9.885107e-10,"ND2","DOWN"
"4721","ENSG00000198791",5041.35,-0.3533656,0.06805175,1.445542e-07,6.60507e-07,"CNOT7","DOWN"
"4722","ENSG00000198792",3060.692,-0.1972564,0.05561357,0.0003485005,0.001073226,"TMEM184B","DOWN"
"4723","ENSG00000198793",7084.228,-0.12106,0.04524244,0.007140326,0.01748627,"MTOR","DOWN"
"4724","ENSG00000198799",1060.444,-0.5109343,0.08588884,1.254733e-09,6.83091e-09,"LRIG2","DOWN"
"4725","ENSG00000198805",2747.308,-1.038369,0.05947513,1.189869e-69,6.450727e-68,"PNP","DOWN"
"4726","ENSG00000198807",210.6949,-0.3699602,0.16215027,0.01430926,0.03285814,"PAX9","DOWN"
"4727","ENSG00000198826",2957.827,-1.015242,0.05412087,7.703816e-80,5.295474e-78,"ARHGAP11A","DOWN"
"4728","ENSG00000198830",28250.06,-0.7033231,0.02837269,2.869416e-136,5.703934e-134,"HMGN2","DOWN"
"4729","ENSG00000198837",2290.034,-0.2542641,0.07166207,0.0003211549,0.0009954043,"DENND4B","DOWN"
"4730","ENSG00000198840",26104.73,-1.051993,0.05870975,3.123727e-73,1.838001e-71,"ND3","DOWN"
"4731","ENSG00000198841",474.6249,-0.4320488,0.10589038,2.56895e-05,9.293963e-05,"KTI12","DOWN"
"4732","ENSG00000198843",2030.094,-0.7493099,0.05685406,2.266112e-40,5.38812e-39,"SELENOT","DOWN"
"4733","ENSG00000198856",2336.221,-0.2633426,0.06084403,1.232431e-05,4.630273e-05,"OSTC","DOWN"
"4734","ENSG00000198858",1414.238,-0.4693847,0.06488338,2.473915e-13,1.751828e-12,"R3HDM4","DOWN"
"4735","ENSG00000198863",782.9872,-0.2854182,0.11213501,0.008460505,0.02040899,"RUNDC1","DOWN"
"4736","ENSG00000198874",769.76,-0.7601043,0.10689067,2.082236e-13,1.483038e-12,"TYW1","DOWN"
"4737","ENSG00000198876",2053.032,-0.1662123,0.05692163,0.003227625,0.008456133,"DCAF12","DOWN"
"4738","ENSG00000198885",895.2821,-0.4948722,0.08440754,2.216816e-09,1.182927e-08,"ITPRIPL1","DOWN"
"4739","ENSG00000198887",1535.037,-0.2172049,0.06929872,0.001499034,0.004164719,"SMC5","DOWN"
"4740","ENSG00000198888",25447.42,-0.9159136,0.18129969,3.331442e-08,1.6177e-07,"ND1","DOWN"
"4741","ENSG00000198890",1688.148,-0.5722202,0.06549897,9.32182e-19,8.91187e-18,"PRMT6","DOWN"
"4742","ENSG00000198894",1218.624,-0.8096062,0.07337926,3.899674e-29,6.055334e-28,"CIPC","DOWN"
"4743","ENSG00000198898",2895.607,-0.1503918,0.06077969,0.01246787,0.02901937,"CAPZA2","DOWN"
"4744","ENSG00000198900",7128.988,-0.7069485,0.03664747,1.534693e-83,1.155734e-81,"TOP1","DOWN"
"4745","ENSG00000198901",8025.382,-0.4253159,0.04036058,3.453988e-26,4.739568e-25,"PRC1","DOWN"
"4746","ENSG00000198908",757.2716,-0.3997358,0.09335768,1.153728e-05,4.34865e-05,"GPRASP3","DOWN"
"4747","ENSG00000198909",1491.4,-0.248146,0.06792668,0.0002165595,0.0006897208,"MAP3K3","DOWN"
"4748","ENSG00000198912",932.381,-0.5443904,0.07784664,1.131711e-12,7.671645e-12,"C1orf174","DOWN"
"4749","ENSG00000198914",2344.529,-0.6778639,0.05336593,1.527099e-37,3.190856e-36,"POU3F3","DOWN"
"4750","ENSG00000198917",1191.734,-0.7333145,0.09350295,9.080065e-16,7.450786e-15,"SPOUT1","DOWN"
"4751","ENSG00000198918",15810.76,-0.5842447,0.04463857,1.439969e-39,3.299367e-38,"RPL39","DOWN"
"4752","ENSG00000198925",2325.798,-0.2763142,0.05614198,6.903685e-07,2.957286e-06,"ATG9A","DOWN"
"4753","ENSG00000198931",4098.601,-1.072691,0.05281381,3.332172e-93,3.076334e-91,"APRT","DOWN"
"4754","ENSG00000198944",649.5852,-0.2332539,0.0969572,0.0136237,0.03145412,"SOWAHA","DOWN"
"4755","ENSG00000198952",5452.277,-0.8258018,0.05078377,2.572303e-60,1.108552e-58,"SMG5","DOWN"
"4756","ENSG00000198954",2400.992,-0.1758598,0.06757936,0.008439037,0.02036528,"KIFBP","DOWN"
"4757","ENSG00000198960",1036.169,-0.2015169,0.07296462,0.005089427,0.01282423,"ARMCX6","DOWN"
